良心品牌,類型,地域,地區,地址,LATITUDE,LONGITUDE,REV_ADDR (For checking only),Map Pin Checked?,聯絡方法(電話/電郵),營業時間,資料來源,資料來源 2,Map Marked,良心行動,良心行動連結,良心行動永久備份連結
賞茶,飲食,九龍,佐敦,柯士甸道63號幸運大廈地下05號舖,22.3033375,114.1704329,香港油麻地吳松街186-194號,Uncertain,2736 6466,星期一至日 11:30-21:00,http://www.anicegift.net,,,為前線人員提供優惠,https://www.facebook.com/anicegift/photos/a.890146221018341/2661770907189188/?type=3&theater,
彌明生活百貨元朗店,零售,新界,元朗,元朗千色匯49號地鋪,22.4426028,114.028452,香港元朗教育路1號,Uncertain,2442 2200,星期一至日12pm－9pm ,https://www.mimingmart.com/pages/stores,,Y,,,
Pheromone - steak house,飲食,香港島,大坑,大坑書館街25號地舖,22.2783802,114.1910889,香港大坑重士街2-12號重士街2-12號,Uncertain,6437 9739,星期一至日 6:00pm - 10:00pm,https://www.facebook.com/Pheromone-Steak-House-2163480263924477/posts,,Y,,,
JR 維修駅 (佐敦),手機維修,九龍,佐敦,佐敦道28號佐敦廣場地下F舖,22.305278,114.169357,香港油麻地上海街86-94號敦成大廈,Uncertain,9251 7376,星期一至日 12pm - 9pm,https://www.facebook.com/jetrepairhk/,,,,,
阿布泰國生活百貨,零售,新界,上水,上水智昌路3號 上水中心購物商場2/F 中庭,22.5008858,114.1299577,香港上水智昌路3號上水中心4座,Y,2716 9777,星期一至日10:00 am - 10:00pm,https://www.abouthai.com,,NA,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,九龍,九龍城,"九龍城衙前圍道衙前圍道52號Shop 52, G/F",22.3290512,114.1907985,香港九龍城衙前圍道52號衙前圍道52號,Y,​2716 9777,星期一至日11:00 am - 10:00pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,新界,元朗,元朗廣場1樓117號舖,22.4448534,114.0238525,香港元朗青山公路元朗段249 - 251號,Y,2612 4588,星期一至日 11:30am - 8:30pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,九龍,南昌,九龍深水埗深旺道28號V Walk 2層L2-93店 (南昌站),22.3269304,114.1534072,香港深水埗南昌站,Y,2479 5168,星期一至日12:00 am - 9:00pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
阿布泰國生活百貨,零售,新界,大埔,新界大埔超級城A區2樓044號舖,22.451369,114.1697827,香港大埔安邦路8號,Y,3590 5047,星期一至日12:00 am - 9:00pm,https://www.abouthai.com,,Y,5/8 罷工,https://www.facebook.com/abouthai/photos/a.1761426540795247/2414429858828242/,
遵理學校,補習,新界,上水,新界上水新豐路89號2樓全層,22.503775,114.126937,香港上水新豐路89號,Y,,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,Y,5/8 罷工,https://www.facebook.com/beaconcollege.fans/photos/a.149828471701271/2876723439011747/?type=3&theater,
遵理學校,補習,九龍,九龍灣,九龍九龍灣牛頭角道77號淘大商場4期2樓186-188號舖,22.3240364,114.2174231,香港九龍灣牛頭角道77號,Y,3150 6108,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,,,,
遵理學校,補習,九龍,九龍灣,九龍灣牛頭角道77號淘大商場2期S102-104,22.3244452,114.2162302,香港九龍灣牛頭角道77號,Y,3150 6150,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,,,,
遵理學校,補習,九龍,九龍灣,九龍牛頭角安基苑商場120號舖,22.322378,114.2172708,"牛 頭角 振 華 道 20 號 安 基 商場 1 樓 125 號, 香港",Y,,星期一至日 10:00am - 8:00pm,https://www.beacon.com.hk/2011/index.php,,,5/8 罷工,https://www.facebook.com/beaconcollege.fans/photos/a.149828471701271/2876723439011747/?type=3&theater,
